+------------------------------------------+---------------------------------------------------------------------------------+-----------------------------+-------------------+----------------+-------------------------------------------------------------------------------------+
| Meter Name                               | Product Name                                                                    | SKU Name                    | Unit of Measure   |   Retail Price | ARM SKU Name                                                                        |
|------------------------------------------+---------------------------------------------------------------------------------+-----------------------------+-------------------+----------------+-------------------------------------------------------------------------------------|
| 1 vCore                                  | Azure Database for MySQL Flexible Server Memory Optimized Esv6 Series Compute   | 1 vCore                     | 1 Hour            |       0.163    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Esv6_Series                          |
| 4 vCore                                  | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E4d_v5             | 1 Hour            |       0.524    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_4vCore           |
| Backup GRS Data Stored                   | Azure Database for MySQL Single Server - Backup Storage                         | Backup GRS                  | 1 GB/Month        |       0.24     |                                                                                     |
| B4MS                                     | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | Standard_B4ms               | 1 Hour            |       0.352    | B4MS                                                                                |
| 16 vCore                                 | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E16d_v5            | 1 Hour            |       2.098    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_16vCore          |
| 1 vCore                                  | Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute   | 1 vCore                     | 1 Hour            |       0.116    | AzureDB_MySQL_Flexible_Server_General_Purpose_Dasv6_Series                          |
| B12MS                                    | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | Standard_B12ms              | 1 Hour            |       1.056    | B12MS                                                                               |
| 48 vCore                                 | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E48d_v5            | 1 Hour            |       6.293    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_48vCore          |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Series Compute        | 1 vCore                     | 1 Hour            |       0.1311   | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv4Series_Compute                  |
| 32 vCore                                 | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E32d_v5            | 1 Hour            |       4.195    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_32vCore          |
| Extended Support vCore                   | Azure Database for MySQL Extended Support                                       | Extended Support            | 1 Hour            |       0.09     | Extended Support                                                                    |
| vCore                                    | Azure Database for MySQL Single Server Basic - Compute Gen5                     | 1 vCore                     | 1 Hour            |       0.0442   |                                                                                     |
| vCore                                    | Azure Database for MySQL Single Server General Purpose - Compute Gen4           | 1 vCore                     | 1 Hour            |       0.1024   |                                                                                     |
| SSD v2 Throughput Prov Throughput (MBps) | Azure Database for MySQL Flexible Server Storage                                | SSD v2 Throughput           | 1/Month           |       0.104    | SSD v2 Throughput                                                                   |
| Basic                                    | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | Basic                       | 1 Hour            |       0.011    | Basic                                                                               |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Series Compute         | 1 vCore                     | 1 Hour            |       0.0975   | 1 vCore                                                                             |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Series Compute         | vCore                       | 1 Hour            |       0.0975   | AzureDB_MySQL_Flexible_Server_General_Purpose_Ddsv4_Compute                         |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Series Compute         | vCore                       | 1 Hour            |     512        | AzureDB_MySQL_Flexible_Server_General_Purpose_Ddsv4_Compute                         |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Series Compute         | vCore                       | 1 Hour            |    1025        | AzureDB_MySQL_Flexible_Server_General_Purpose_Ddsv4_Compute                         |
| PMD LRS Data Stored                      | Azure Database for MySQL Flexible Server Storage                                | PMD LRS                     | 1 GB/Month        |      78        | PMD                                                                                 |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Series Compute        | Standard_Eas                | 1 Hour            |       0.1311   | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv4Series_Compute                  |
| 1 vCore                                  | Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute  | 1 vCore                     | 1 Hour            |       0.146    | AzureDB_MySQL_Flexible_Server_General_Purpose_Compute_Dadsv6_Series                 |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Eadsv5 Series Compute | vCore                       | 1 Hour            |       0.1311   | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv5_Series                        |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Eadsv5 Series Compute | vCore                       | 1 Hour            |     689        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv5_Series                        |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Eadsv5 Series Compute | vCore                       | 1 Hour            |    1378        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv5_Series                        |
| vCore                                    | Azure Database for MySQL Flexible Server Business Critical Ev3 Series Compute   | 1 vCore                     | 1 Hour            |       0.1311   | 1 vCore                                                                             |
| B16MS                                    | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | Standard_B16ms              | 1 Hour            |       1.408    | B16MS                                                                               |
| Standard Unit                            | Azure Database for MySQL Standard Compute                                       | Standard                    | 1 Hour            |       0.001135 |                                                                                     |
